soc_code,area_code,area_name,year,period,employment,annual_mean_wage,annual_10pct_wage,annual_25pct_wage,annual_median_wage,annual_75pct_wage,annual_90pct_wage,hourly_mean_wage,hourly_10pct_wage,hourly_25pct_wage,hourly_median_wage,hourly_75pct_wage,hourly_90pct_wage,employment_pct,wage_pct,employment_per_1000,location_quotient,occupation_title,major_group,is_major_group,parent_soc,major_group_name,uber_category,log_wage,log_employment,job_complexity_raw,job_complexity,wage_range,task_complexity_raw,task_complexity
05-6100,001018,National,2024,A01,40451,67204,45088.9721356916,47516.0631647815,62929.47514189269,78062.1810318473,116139.92649950879,32.309615384615384,21.67739044985173,22.844261136914184,30.254555356679177,37.52989472684966,55.83650312476384,1.7190104396589931,3.0526598640463365,40.451,1.831926331402391,Occupation 05-6100,05,False,05-0000,Group 05,Other,11.115488048549294,10.60784664405992,117.91139259289177,70.65296599392819,2.5757945013693173,0.9461580307468143,47.49645705247394
08-1340,001018,National,2024,A01,70815,88208,61388.267450209765,72218.0628118401,84016.62028309863,100437.82114566503,156071.35759101014,42.40769230769231,29.513590120293156,34.720222505692355,40.39260590533588,48.28741401233896,75.03430653413949,2.897279966878576,3.134413409464945,70.815,0.7542748107632495,Occupation 08-1340,08,False,08-0000,Group 08,Other,11.387452940829466,11.167826121648497,127.1730944116383,87.07315170247698,2.542364592999714,0.933094590098443,45.357157854852794
05-6132,001018,National,2024,A01,83786,76123,46731.278088415536,67913.63111140167,79950.56152223276,93373.23947444468,123064.43339405548,36.597596153846155,22.466960619430548,32.65078418817388,38.4377699626119,44.89098051655994,59.16559297791129,3.850361741626969,3.5610754861713776,83.786,0.8265669893187491,Occupation 05-6132,05,False,05-0000,Group 05,Other,11.240105732089072,11.336021208074216,127.41807695995828,87.50748429247953,2.633448911053057,0.968294360115029,51.12155345168356
04-8120,001018,National,2024,A01,66613,33117,17202.37333908217,28667.788959917783,35213.72920920552,38247.31610145239,46259.92040861064,15.921634615384615,8.270371797635658,13.782590846114319,16.929677504425733,18.388132741082877,22.240346350293578,1.8727859991833289,0.664638386399107,66.613,1.3367025166843298,Occupation 04-8120,04,False,04-0000,Group 04,Other,10.407802024686461,11.106655032675572,115.59586673657489,66.5477415634989,2.689159193139499,0.9892285771481779,54.54978915981808
04-5990,001018,National,2024,A01,97042,48732,29959.574477620827,35091.07946344555,49034.530083801685,58555.65736805284,73124.7565789729,23.428846153846155,14.403641575779243,16.870711280502668,23.57429330952004,28.151758350025403,35.156132970660046,3.252954210868678,0.9015371140438921,97.042,0.9685633948344166,Occupation 04-5990,04,False,04-0000,Group 04,Other,10.794091177474298,11.482899153463256,123.94746044422482,81.3543853451402,2.440780880702947,0.8923180211804278,38.67949279584481
08-1100,001018,National,2024,A01,12773,37325,23485.79835192565,27925.07357608652,39070.9739843429,41403.54753961958,60717.710831104865,17.94471153846154,11.291249207656563,13.42551614234929,18.78412210785716,19.905551701740183,29.191207130338878,3.7433772960735383,2.1061389973135647,12.773,1.9913502927193985,Occupation 08-1100,08,False,08-0000,Group 08,Other,10.52741862240739,9.455088847042777,99.53767840487455,38.07798085325218,2.585294735195855,0.9498395189447829,48.09934605851448
04-4100,001018,National,2024,A01,83745,77012,46659.072628231246,55359.620985411064,76530.92750106797,90042.82312385684,100365.07586234373,37.025,22.432246455880406,26.61520239683224,36.79371514474422,43.28981880954656,48.25244031843449,1.5041743797732028,3.2251727883453807,83.745,1.604101054690195,Occupation 04-4100,04,False,04-0000,Group 04,Other,11.251716532849226,11.33553174641257,127.54418995974758,87.73107158964461,2.151030232898745,0.7659469054628507,17.984667157332172
05-6160,001018,National,2024,A01,93216,72409,47615.67516094583,53485.46723886422,70426.54392065268,90910.32591773586,110523.41978284046,34.81201923076923,22.892151519685495,25.714166941761643,33.85891534646763,43.706887460449934,53.13625951098099,2.8957728453921656,4.684562135911418,93.216,1.4029668326007851,Occupation 05-6160,05,False,05-0000,Group 05,Other,11.1900858800403,11.442674659759161,128.04451214006593,88.61809897140557,2.321156203482573,0.8420654251064126,30.450011654295476
04-8840,001018,National,2024,A01,57297,118203,72405.4068408547,100616.46703347376,109103.40817798428,132651.02157103203,191199.72484958937,56.82836538461538,34.81029175041091,48.373301458400846,52.453561624030904,63.77452960145771,91.92294463922566,4.372696808824846,2.387554726568513,57.297,1.3077908681641879,Occupation 04-8840,04,False,04-0000,Group 04,Other,11.68015876434271,10.956003545311264,127.96786083193716,88.48220291915628,2.640682970953283,0.9710375848195284,51.57079026204575
05-4160,001018,National,2024,A01,79774,31707,20362.344608950887,23787.78264103722,29799.47623715678,39260.17585196216,44358.89102747234,15.24375,9.789588754303312,11.436433962037126,14.326671267863837,18.875084544212577,21.32638991705401,2.2015467440442844,1.9678735863028163,79.774,1.2158029961051566,Occupation 05-4160,05,False,05-0000,Group 05,Other,10.364292755677457,11.28695291581247,116.98128433902774,69.00396556653499,2.1784765889863706,0.7786258201262332,20.060995491970633
