occupation_code,soc_code,occupation_title,employment,major_group,major_group_name,is_major_group,uber_category,annual_mean_wage,annual_10pct_wage,annual_90pct_wage,annual_median_wage,avg_task_importance,avg_skill_level,wage_range,complexity_raw,job_complexity_index,task_complexity_raw,task_complexity_index,job_price_index
00-0000,00-0000,U.S.,0.0,0,,True,Other,114008,74924.8859157188,190452.55144669762,123915.0251458125,3.9898554512549644,2.448859365249097,115527.66553097882,1128774.018235974,1.7375735318829766,9.77059488779588,1.0053950054011442,1.5134474976768884
11-0000,11-0000,U.S.,0.2,11,Management,True,Management & Business,81813,43334.12079930966,137261.53509995004,80190.04428776276,3.8577014355949912,2.8880283533260633,93927.41430064038,1046459.5174724542,1.6108630517459748,11.141151124664994,1.1464253531940658,1.0860613301473516
11-1000,11-1000,U.S.,0.3,11,Management,False,Management & Business,53490,34528.59158492612,76437.82507403151,55161.16951866613,3.8577014355949912,2.8880283533260633,41909.23348910539,466917.1038209943,0.7187468776528926,11.141151124664994,1.1464253531940658,0.7100756670649144
11-1010,11-1010,U.S.,1.2,11,Management,False,Management & Business,113059,69854.38203151136,182240.95633835852,111518.47652143653,3.8577014355949912,2.8880283533260633,112386.57430684716,1252115.8087359762,1.927439197716415,11.141151124664994,1.1464253531940658,1.5008495951148282
11-1011,11-1011,U.S.,1.2,11,Management,False,Management & Business,35047,22807.71564016847,60920.888813950936,37631.04927543335,3.950967741935484,3.365142857142857,38113.17317378247,506736.3952251281,0.780042536203118,13.295570875576038,1.3681153200771543,0.46524624983406343
11-1011,11-1011,U.S.,1.2,11,Management,False,Management & Business,35047,22807.71564016847,60920.888813950936,37631.04927543335,3.950967741935484,2.821142857142857,38113.17317378247,424818.74396781414,0.6539429446824238,11.146244423963134,1.1469494541044167,0.46524624983406343
11-1011,11-1011,U.S.,1.2,11,Management,False,Management & Business,35047,22807.71564016847,60920.888813950936,37631.04927543335,3.757222222222222,3.365142857142857,38113.17317378247,481887.3170591741,0.7417912123638883,12.643589523809524,1.3010263861679712,0.46524624983406343
11-1011,11-1011,U.S.,1.2,11,Management,False,Management & Business,35047,22807.71564016847,60920.888813950936,37631.04927543335,3.757222222222222,2.821142857142857,38113.17317378247,403986.7013620552,0.62187522761768,10.599660634920635,1.0907059379370476,0.46524624983406343
11-1020,11-1020,U.S.,0.4,11,Management,False,Management & Business,41806,26435.015707628292,74756.8309058224,39752.067755427444,3.8577014355949912,2.8880283533260633,48321.815198194105,538360.6457412142,0.828723193070346,11.141151124664994,1.1464253531940658,0.5549714589141113
11-1021,11-1021,U.S.,0.4,11,Management,False,Management & Business,93379,48359.68801708584,142208.30595449518,88957.06728465494,3.6958823529411764,2.724285714285714,93848.61793740935,944927.9011906863,1.4545707857561867,10.068639495798319,1.036063819707086,1.2395990973051905
11-1030,11-1030,U.S.,3.9,11,Management,False,Management & Business,35065,20175.617437676923,46043.32269760401,38056.51045952574,3.8577014355949912,2.8880283533260633,25867.705259927086,288196.0135491392,0.4436333199091105,11.141151124664994,1.1464253531940658,0.46548519846010883
11-1031,11-1031,U.S.,3.9,11,Management,False,Management & Business,110113,62951.66747593033,165728.51533541273,102698.86419170773,3.8577014355949912,2.8880283533260633,102776.8478594824,1145052.3941191952,1.762631581253151,11.141151124664994,1.1464253531940658,1.4617416699853976
11-2000,11-2000,U.S.,0.5,11,Management,False,Management & Business,39820,20799.2988550361,62554.57000535397,36458.165789954175,3.8577014355949912,2.8880283533260633,41755.27115031787,465201.7861370557,0.7161064105990527,11.141151124664994,1.1464253531940658,0.5286074605071021
11-2010,11-2010,U.S.,4.6,11,Management,False,Management & Business,90816,53998.054811197515,149883.01034346994,89537.1452479476,3.8577014355949912,2.8880283533260633,95884.95553227243,1068268.7801668297,1.6444350484392114,11.141151124664994,1.1464253531940658,1.2055754679410593
11-2011,11-2011,U.S.,4.6,11,Management,False,Management & Business,110524,72019.6908007911,176438.08785784664,99639.0844160759,3.691904761904762,2.6525714285714286,104418.39705705554,1022573.6527683043,1.5740944464932338,9.793041088435375,1.0077047212651566,1.4671976636134343
11-2020,11-2020,U.S.,0.6,11,Management,False,Management & Business,94902,65373.5118470389,143774.45836117366,85819.62832717557,3.8577014355949912,2.8880283533260633,78400.94651413476,873476.7934307525,1.3445828238952282,11.141151124664994,1.1464253531940658,1.2598168060533652
11-2021,11-2021,U.S.,0.8,11,Management,False,Management & Business,38276,26150.77156570239,53401.3960836974,37346.39317829149,3.4295,2.793142857142857,27250.62451799501,261036.00573854827,0.4018246762523675,9.579083428571428,0.9856884607339562,0.5081109783618745
11-2022,11-2022,U.S.,0.8,11,Management,False,Management & Business,112713,73798.50091214915,163427.11175563678,120404.06704962694,3.584705882352941,2.8400000000000003,89628.61084348764,912469.8721904746,1.4046066554903291,10.180564705882354,1.0475809328910046,1.4962564715252886
11-2030,11-2030,U.S.,1.1,11,Management,False,Management & Business,76752,40769.484722573754,138078.33381103276,69874.47034100661,3.8577014355949912,2.8880283533260633,97308.84908845901,1084132.5934617412,1.668854942634729,11.141151124664994,1.1464253531940658,1.0188769414575867
11-2032,11-2032,U.S.,1.3,11,Management,False,Management & Business,88004,45963.93495280986,137925.91002323237,95196.60354786852,3.8577014355949912,2.8880283533260633,91961.97507042252,1024562.2619822518,1.5771556037130054,11.141151124664994,1.1464253531940658,1.1682463825833
11-2033,11-2033,U.S.,1.6,11,Management,False,Management & Business,42762,27277.853975977083,66635.7395107401,43145.37332171927,3.8577014355949912,2.8880283533260633,39357.885534763016,438492.15069006104,0.674991045743765,11.141151124664994,1.1464253531940658,0.5676622859418559
11-3000,11-3000,U.S.,0.3,11,Management,False,Management & Business,58969,39087.97372731823,99946.21433630586,60751.87042566431,3.8577014355949912,2.8880283533260633,60858.240608987624,678030.8558059552,1.0437239428043772,11.141151124664994,1.1464253531940658,0.7828089738484004
11-3010,11-3010,U.S.,0.5,11,Management,False,Management & Business,101702,57276.273228389146,164141.12469700928,111475.11884167868,3.8577014355949912,2.8880283533260633,106864.85146862012,1190597.4601267746,1.8327411868288608,11.141151124664994,1.1464253531940658,1.3500862870038497
11-3012,11-3012,U.S.,0.7,11,Management,False,Management & Business,68427,42896.708706056874,116692.45337674183,66897.84132755522,3.655,2.5385714285714283,73795.74467068496,684712.2355895644,1.0540088966400443,9.27847857142857,0.9547561965840778,0.908363201911589
11-3013,11-3013,U.S.,0.7,11,Management,False,Management & Business,81032,48353.666345478036,130630.87311889249,88318.7257204314,3.921818181818182,2.832857142857143,82277.20677341445,914095.7068190536,1.4071093771797,11.109950649350651,1.1432148217568896,1.075693614761715
11-3020,11-3020,U.S.,0.6,11,Management,False,Management & Business,109677,57431.41467753408,190118.35826748822,111201.6014148539,3.8577014355949912,2.8880283533260633,132686.94358995414,1478285.290805578,2.2755922375763973,11.141151124664994,1.1464253531940658,1.4559538032656312
